"C:\DIANA\Section B\VolatilityWorkbench\vol.exe" -f "D:\SectionB\RAM Capture\RAM CAPTURE 3.raw" windows.ldrmodules.LdrModules 
Volatility 3 Framework 2.5.0
Pid	Process	Base	InLoad	InInit	InMem	MappedPath
936	fontdrvhost.ex	0x76fa0000	True	True	True	\Windows\System32\imm32.dll
936	fontdrvhost.ex	0x76f10000	True	True	True	\Windows\System32\gdi32.dll
936	fontdrvhost.ex	0x77420000	True	True	True	\Windows\System32\user32.dll
944	svchost.exe	0x73930000	True	True	True	\Windows\System32\sppc.dll
944	svchost.exe	0x1270000	True	False	True	\Windows\System32\svchost.exe
944	svchost.exe	0xdd0000	False	False	False	\Windows\System32\en-US\svchost.exe.mui
944	svchost.exe	0x38b0000	False	False	False	\Windows\System32\en-US\lsm.dll.mui
944	svchost.exe	0x61660000	True	True	True	\Windows\System32\SmartCardBackgroundPolicy.dll
944	svchost.exe	0x61610000	True	True	True	\Windows\System32\SebBackgroundManagerPolicy.dll
944	svchost.exe	0x5e830000	True	True	True	\Windows\System32\LicenseManagerApi.dll
944	svchost.exe	0x61620000	True	True	True	\Windows\System32\execmodelproxy.dll
944	svchost.exe	0x61630000	True	True	True	\Windows\System32\Windows.Networking.BackgroundTransfer.BackgroundManagerPolicy.dll
944	svchost.exe	0x73140000	True	True	True	\Windows\System32\ResourcePolicyServer.dll
944	svchost.exe	0x70390000	True	True	True	\Windows\System32\usermgrcli.dll
944	svchost.exe	0x61810000	True	True	True	\Windows\System32\ACPBackgroundManagerPolicy.dll
944	svchost.exe	0x61680000	True	True	True	\Windows\System32\BackgroundMediaPolicy.dll
944	svchost.exe	0x62060000	True	True	True	\Windows\System32\ExecModelClient.dll
944	svchost.exe	0x61f00000	True	True	True	\Windows\System32\OneCoreCommonProxyStub.dll
944	svchost.exe	0x6d2e0000	True	True	True	\Windows\System32\capauthz.dll
944	svchost.exe	0x71a80000	True	True	True	\Windows\System32\dab.dll
944	svchost.exe	0x70870000	True	True	True	\Windows\System32\OneCoreUAPCommonProxyStub.dll
944	svchost.exe	0x70590000	True	True	True	\Windows\System32\bi.dll
944	svchost.exe	0x70ec0000	True	True	True	\Windows\System32\policymanager.dll
944	svchost.exe	0x72bf0000	True	True	True	\Windows\System32\propsys.dll
944	svchost.exe	0x71ae0000	True	True	True	\Windows\System32\SystemEventsBrokerServer.dll
944	svchost.exe	0x71aa0000	True	True	True	\Windows\System32\BrokerLib.dll
944	svchost.exe	0x72780000	True	True	True	\Windows\System32\CoreMessaging.dll
944	svchost.exe	0x72dc0000	True	True	True	\Windows\System32\msvcp110_win.dll
944	svchost.exe	0x72db0000	True	True	True	\Windows\System32\wtsapi32.dll
944	svchost.exe	0x72fe0000	True	True	True	\Windows\System32\apphelp.dll
944	svchost.exe	0x73410000	True	True	True	\Windows\System32\twinapi.appcore.dll
944	svchost.exe	0x732a0000	True	True	True	\Windows\System32\embeddedmodesvcapi.dll
944	svchost.exe	0x73170000	True	True	True	\Windows\System32\wer.dll
944	svchost.exe	0x73220000	True	True	True	\Windows\System32\PsmServiceExtHost.dll
944	svchost.exe	0x732f0000	True	True	True	\Windows\System32\lsm.dll
944	svchost.exe	0x732b0000	True	True	True	\Windows\System32\sysntfy.dll
944	svchost.exe	0x732c0000	True	True	True	\Windows\System32\dwmapi.dll
944	svchost.exe	0x733b0000	True	True	True	\Windows\System32\ResourcePolicyClient.dll
944	svchost.exe	0x73390000	True	True	True	\Windows\System32\rmclient.dll
944	svchost.exe	0x733d0000	True	True	True	\Windows\System32\psmsrv.dll
944	svchost.exe	0x73770000	True	True	True	\Windows\System32\gpapi.dll
944	svchost.exe	0x73660000	True	True	True	\Windows\System32\rpcss.dll
944	svchost.exe	0x73580000	True	True	True	\Windows\System32\bisrv.dll
944	svchost.exe	0x73760000	True	True	True	\Windows\System32\hid.dll
